tconst,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt11207806,Atrophy,0,2019,\N,17,"Horror,Short",7.2,14.0
tt11207818,Diabla,0,2019,\N,15,"Horror,Short",6.5,18.0
tt1120945,Tony,0,2009,\N,76,"Drama,Horror,Thriller",6.2,3279.0
tt11209892,Killer BBQ,0,2019,\N,82,Horror,8.0,6.0
tt11210232,Real Sleep,0,2018,\N,\N,"Horror,Short",9.2,16.0
tt11210308,Kids in Cars Getting Killed by Creatures,0,2019,\N,9,"Horror,Short",3.2,6.0
tt11212786,Maggots,0,2019,\N,76,Horror,5.3,9.0
tt11212844,Skywatching,0,2019,\N,4,"Horror,Short",8.4,17.0
tt11213090,The Slumber Party Massacre (1982),0,2019,\N,\N,"Comedy,Horror",8.6,15.0
tt11214036,El Siervo,0,2019,\N,\N,"Horror,Short",8.4,5.0
tt11214196,Miss Annity,0,2019,\N,\N,Horror,7.6,19.0
tt11214298,Baby on Board,0,2019,\N,\N,Horror,8.6,5.0
tt11214300,Kiss and Make Up,0,2019,\N,\N,Horror,7.6,5.0
tt11214536,The Squire Street Haunting,0,2019,\N,42,"Documentary,Horror",5.4,19.0
tt11214670,The House at Deadman's Curve,0,2019,\N,42,"Documentary,Horror",5.2,18.0
tt11214970,The Unwelcoming House 2,0,2019,\N,87,Horror,4.7,38.0
tt11217956,Carrion,0,2020,\N,\N,"Horror,Sci-Fi",7.2,99.0
tt11218006,Secret Neighbor,0,2019,\N,\N,Horror,6.6,13.0
tt11218374,Smiling Woman,0,2019,\N,3,"Horror,Short",6.2,112.0
tt11219342,Unknown Visitor,0,2019,\N,52,Horror,3.6,53.0
tt11219868,Follower,0,2019,\N,\N,"Horror,Short",7.7,7.0
tt11223410,#chadgetstheaxe,0,2019,\N,14,"Horror,Short",7.1,19.0
tt1122765,The House That Jack Built,0,2009,\N,88,Horror,3.2,100.0
